case_name,url,date,case_type,matter_number,case_status,summary,tags,long_title
"Guzzetta, Victor L., d/b/a Smart Data Systems",https://www.ftc.gov/legal-library/browse/cases-proceedings/012-3066-guzzetta-victor-l-dba-smart-data-systems,2002-03-08T12:00:00Z,Federal,012 3066,,,Consumer Protection; Privacy and Security; Gramm-Leach-Bliley Act,"FTC v. Victor L. Guzzetta, d/b/a Smart Data Systems"
American Pop Corn Company,https://www.ftc.gov/legal-library/browse/cases-proceedings/012-3026-american-pop-corn-company,2002-02-14T12:00:00Z,Federal,012 3026,,,Consumer Protection; Western Region; Children's Online Privacy Protection Act (COPPA); Technology; Privacy and Security; Children's Privacy,United States v. American Pop Corn Company
"Frank, Lisa, Inc.",https://www.ftc.gov/legal-library/browse/cases-proceedings/012-3050-frank-lisa-inc,2001-10-02T12:00:00Z,Federal,012-3050,,,Consumer Protection; Bureau of Consumer Protection; Children's Online Privacy Protection Act (COPPA); Technology; Privacy and Security; Children's Privacy,"United States of America v. Lisa Frank, Inc."
"Bigmailbox.Com, Inc., et al.",https://www.ftc.gov/legal-library/browse/cases-proceedings/002-3378-bigmailboxcom-inc-et-al,2001-04-19T12:00:00Z,Federal,002 3378,,,Consumer Protection; Bureau of Consumer Protection; Children's Online Privacy Protection Act (COPPA); Technology; Privacy and Security; Children's Privacy,"Bigmailbox.Com, Inc., et al., U.S. v."
"Looksmart, Ltd.",https://www.ftc.gov/legal-library/browse/cases-proceedings/002-3379-looksmart-ltd,2001-04-19T12:00:00Z,Federal,002 3379,,,Consumer Protection; Bureau of Consumer Protection; Children's Online Privacy Protection Act (COPPA); Technology; Privacy and Security; Children's Privacy,"Looksmart, Ltd., U.S. v."
"Monarch Services, Inc., et al.",https://www.ftc.gov/legal-library/browse/cases-proceedings/002-3375-monarch-services-inc-et-al,2001-04-19T12:00:00Z,Federal,002 3375,,,Consumer Protection; Bureau of Consumer Protection; Children's Online Privacy Protection Act (COPPA); Technology; Privacy and Security; Children's Privacy,"Monarch Services, Inc., et al., U.S. v."
"Toysmart.com, LLC, and Toysmart.com, Inc.",https://www.ftc.gov/legal-library/browse/cases-proceedings/x000075-toysmartcom-llc-toysmartcom-inc,2000-07-21T12:00:00Z,Federal,X000075,,,Consumer Protection; Bureau of Consumer Protection; Children's Online Privacy Protection Act (COPPA); Retail; Technology; Privacy and Security; Children's Privacy,"FTC v. Toysmart.com, LLC, and Toysmart.com, Inc."
"Rennert, Sandra L., et al.",https://www.ftc.gov/legal-library/browse/cases-proceedings/992-3245-rennert-sandra-l-et-al,2000-07-12T12:00:00Z,Federal,992 3245,,,Consumer Protection; Advertising and Marketing; Health Claims; Online Advertising and Marketing; Privacy and Security; Consumer Privacy; Data Security,"FTC v. Sandra L. Rennert, Philip Rennert, Lyle Mortensen, International Outsourcing Group, Inc., Focus Medical Group, Inc., Trimline, Inc., Affordable Accents, Inc., World Wide RX, Inc., World Wide Medicine, Inc., PSRenn, Inc., and Doctors A.S.A.P., Inc."
"Rapp, James J., and Regana L. Rapp d/b/a Touch Tone Information, Inc.",https://www.ftc.gov/legal-library/browse/cases-proceedings/rapp-james-j-regana-l-rapp-dba-touch-tone-information-inc,2000-06-27T12:00:00Z,Federal,,,,Consumer Protection; Privacy and Security; Gramm-Leach-Bliley Act,"FTC v. James J. Rapp and Regana L. Rapp, individually and doing business as Touch Tone Information, Inc."
"Trans Union Corporation, In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/trans-union-corporation-matter,2000-03-30T12:00:00Z,Administrative,,,,Consumer Protection; Privacy and Security; Credit Reporting,In the Matter of Trans Union Corporation
"Equifax Credit Information Services, Inc.",https://www.ftc.gov/legal-library/browse/cases-proceedings/9923016-equifax-credit-information-services-inc,2000-01-13T12:00:00Z,Federal,9923016,,,Consumer Protection; Privacy and Security; Credit Reporting,"Equifax Credit Information Services, Inc., U.S. v."
"Experian Information Solutions, Inc.",https://www.ftc.gov/legal-library/browse/cases-proceedings/experian-information-solutions-inc,2000-01-13T12:00:00Z,Federal,,,,Consumer Protection; Privacy and Security; Credit Reporting,"Experian Information Solutions, Inc., U.S. v. ,"
"Liberty Financial Companies, Inc.",https://www.ftc.gov/legal-library/browse/cases-proceedings/982-3522-liberty-financial-companies-inc,1999-08-12T12:00:00Z,Federal,982 3522,,,Consumer Protection; Privacy and Security; Consumer Privacy,"Liberty Financial Companies, Inc."
"First American Real Estate Solutions, LL",https://www.ftc.gov/legal-library/browse/cases-proceedings/952-3267-first-american-real-estate-solutions-ll,1999-08-02T12:00:00Z,Federal,952 3267,,,Consumer Protection; Privacy and Security; Credit Reporting,"First American Real Estate Solutions, LLC"
GeoCities,https://www.ftc.gov/legal-library/browse/cases-proceedings/982-3015-geocities,1999-02-12T12:00:00Z,Federal,982 3015,,,Consumer Protection; Privacy and Security; Children's Privacy; Consumer Privacy,GeoCities
"Altmeyer Home Stores, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/962-3063-altmeyer-home-stores-inc-matter,1998-06-24T12:00:00Z,Administrative,962 3063,,,Consumer Protection; Human Resources; Privacy and Security; Credit Reporting,"In the Matter of Altmeyer Home Stores, Inc."
"Aldi Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/962-3064-aldi-inc-matter,1997-09-12T12:00:00Z,Administrative,962 3064,,,Consumer Protection; Human Resources; Privacy and Security; Credit Reporting,In the Matter of Aldi Inc.
"Bruno's, Inc., In the Matter of",https://www.ftc.gov/legal-library/browse/cases-proceedings/962-3086-brunos-inc-matter,1997-08-05T12:00:00Z,Administrative,962 3086,,,Consumer Protection; Human Resources; Privacy and Security; Credit Reporting,"In the Matter of Bruno's, Inc"
